identifier,normalizedIdentifier,lookupType,resolvedUuid,resolvedUsername,stars,nicked,cacheSource,cacheHit,revalidated,installId,responseStatus,latencyMs,requestedAt
b44559f6f6644e8ebdff1d4a2cd32042,b44559f6f6644e8ebdff1d4a2cd32042,uuid,b44559f6f6644e8ebdff1d4a2cd32042,UMT1X,8,false,cache,true,false,,200,0,2026-03-16T16:04:24.376Z
193fdb8dbb4d4a74930256462987a560,193fdb8dbb4d4a74930256462987a560,uuid,193fdb8dbb4d4a74930256462987a560,Finn_CAN,84,false,cache,true,false,,200,1,2026-03-16T16:04:24.376Z
a228f1785f4542709c71442907ef5100,a228f1785f4542709c71442907ef5100,uuid,a228f1785f4542709c71442907ef5100,jazzmo,56,false,cache,true,false,,200,0,2026-03-16T16:04:24.376Z
528ab30fac6543f4a53a2738f3977832,528ab30fac6543f4a53a2738f3977832,uuid,528ab30fac6543f4a53a2738f3977832,roculi,8,false,network,false,false,,200,175,2026-03-16T15:58:44.367Z
f40c6d3e780548429dd92a00ff77f019,f40c6d3e780548429dd92a00ff77f019,uuid,f40c6d3e780548429dd92a00ff77f019,dato2046,7,false,network,false,false,,200,2577,2026-03-16T15:58:44.367Z
e92407ea8878404ea6b5a84d7881d5b2,e92407ea8878404ea6b5a84d7881d5b2,uuid,e92407ea8878404ea6b5a84d7881d5b2,r4kz,613,false,cache,true,false,,200,0,2026-03-16T15:58:44.367Z
8d223943734a4136aad86b9cef97a03e,8d223943734a4136aad86b9cef97a03e,uuid,8d223943734a4136aad86b9cef97a03e,TheShadowOne_,17,false,network,false,false,,200,2582,2026-03-16T15:58:44.367Z
c9fb8818405845bdbcb87228b3e70728,c9fb8818405845bdbcb87228b3e70728,uuid,c9fb8818405845bdbcb87228b3e70728,to_730,12,false,network,false,false,,200,2675,2026-03-16T15:58:44.367Z
982e31d98a174f89a2a5faa1586eaf2c,982e31d98a174f89a2a5faa1586eaf2c,uuid,982e31d98a174f89a2a5faa1586eaf2c,JXDDM,15,false,network,false,false,,200,2594,2026-03-16T15:58:44.367Z
8b38cb30f2c44b11aa8e672b0321bfd9,8b38cb30f2c44b11aa8e672b0321bfd9,uuid,8b38cb30f2c44b11aa8e672b0321bfd9,SCHUBI_67,10,false,network,false,false,,200,2776,2026-03-16T15:58:44.367Z
7d064e939bfd40d0a3e5ebcacdd7851d,7d064e939bfd40d0a3e5ebcacdd7851d,uuid,7d064e939bfd40d0a3e5ebcacdd7851d,Acethedarking,60,false,network,false,false,,200,2879,2026-03-16T15:58:44.367Z
8f65e280c92047bf925bcd109a1b882d,8f65e280c92047bf925bcd109a1b882d,uuid,8f65e280c92047bf925bcd109a1b882d,7RCa,1,false,cache,true,false,,200,0,2026-03-16T15:58:09.365Z
e92407ea8878404ea6b5a84d7881d5b2,e92407ea8878404ea6b5a84d7881d5b2,uuid,e92407ea8878404ea6b5a84d7881d5b2,r4kz,613,false,cache,true,false,,200,0,2026-03-16T15:58:09.365Z
24f5600137c226e691a72b1625461f3b,24f5600137c226e691a72b1625461f3b,uuid,24f5600137c226e691a72b1625461f3b,(nicked),,true,network,false,false,,200,204,2026-03-16T15:58:04.365Z
415a7f69a20f24288723bdaf4ba35814,415a7f69a20f24288723bdaf4ba35814,uuid,415a7f69a20f24288723bdaf4ba35814,(nicked),,true,network,false,false,,200,203,2026-03-16T15:58:04.365Z
953c2712b14f2860bc2ab9cf6d48aff0,953c2712b14f2860bc2ab9cf6d48aff0,uuid,953c2712b14f2860bc2ab9cf6d48aff0,(nicked),,true,network,false,false,,200,1760,2026-03-16T15:58:04.365Z
eaa5939edd4f23bf86f59630701ced8d,eaa5939edd4f23bf86f59630701ced8d,uuid,eaa5939edd4f23bf86f59630701ced8d,(nicked),,true,network,false,false,,200,1856,2026-03-16T15:58:04.365Z
ac44562719f72ce2b39a95e191133d42,ac44562719f72ce2b39a95e191133d42,uuid,ac44562719f72ce2b39a95e191133d42,(nicked),,true,network,false,false,,200,1703,2026-03-16T15:58:04.365Z
6b4341636bc7249da7d8a079732905ed,6b4341636bc7249da7d8a079732905ed,uuid,6b4341636bc7249da7d8a079732905ed,(nicked),,true,network,false,false,,200,100,2026-03-16T15:58:04.365Z
907ddd35e1892a468de0835ce8e5d395,907ddd35e1892a468de0835ce8e5d395,uuid,907ddd35e1892a468de0835ce8e5d395,(nicked),,true,network,false,false,,200,1703,2026-03-16T15:58:04.365Z
946d34fda8e52632b89d5c261bfcd753,946d34fda8e52632b89d5c261bfcd753,uuid,946d34fda8e52632b89d5c261bfcd753,(nicked),,true,network,false,false,,200,104,2026-03-16T15:58:04.365Z
ee5bf23f720027cbb8ce3c6842f6cde8,ee5bf23f720027cbb8ce3c6842f6cde8,uuid,ee5bf23f720027cbb8ce3c6842f6cde8,(nicked),,true,network,false,false,,200,196,2026-03-16T15:58:04.365Z
a12ef129238d2f20afa1b83d16716f96,a12ef129238d2f20afa1b83d16716f96,uuid,a12ef129238d2f20afa1b83d16716f96,(nicked),,true,network,false,false,,200,100,2026-03-16T15:58:04.365Z
c2ff63c8fbec2c06a8f1083ec42bb88d,c2ff63c8fbec2c06a8f1083ec42bb88d,uuid,c2ff63c8fbec2c06a8f1083ec42bb88d,(nicked),,true,network,false,false,,200,138,2026-03-16T15:58:04.365Z
49b194d9608a271bb2219f5fa213f414,49b194d9608a271bb2219f5fa213f414,uuid,49b194d9608a271bb2219f5fa213f414,(nicked),,true,network,false,false,,200,137,2026-03-16T15:58:04.365Z
779de6e885702975bd612b02f25939c5,779de6e885702975bd612b02f25939c5,uuid,779de6e885702975bd612b02f25939c5,(nicked),,true,network,false,false,,200,142,2026-03-16T15:58:04.365Z
96a003e9eccd2c4894839c2934329a1e,96a003e9eccd2c4894839c2934329a1e,uuid,96a003e9eccd2c4894839c2934329a1e,(nicked),,true,network,false,false,,200,99,2026-03-16T15:58:04.365Z
b6f3225bdad82d8ea4d710b66eced4c3,b6f3225bdad82d8ea4d710b66eced4c3,uuid,b6f3225bdad82d8ea4d710b66eced4c3,(nicked),,true,network,false,false,,200,198,2026-03-16T15:58:04.365Z
9552c7a9b6622826969742f321253a05,9552c7a9b6622826969742f321253a05,uuid,9552c7a9b6622826969742f321253a05,(nicked),,true,network,false,false,,200,57,2026-03-16T15:57:59.364Z
ad0c60b66bdd264cb7adc1bc01a2547f,ad0c60b66bdd264cb7adc1bc01a2547f,uuid,ad0c60b66bdd264cb7adc1bc01a2547f,(nicked),,true,network,false,false,,200,155,2026-03-16T15:57:59.364Z
7a5c6e7fb48c2791b50644f6204aa87c,7a5c6e7fb48c2791b50644f6204aa87c,uuid,7a5c6e7fb48c2791b50644f6204aa87c,(nicked),,true,network,false,false,,200,100,2026-03-16T15:57:59.364Z
3b080da2abec2770b3a17868e332dcb2,3b080da2abec2770b3a17868e332dcb2,uuid,3b080da2abec2770b3a17868e332dcb2,(nicked),,true,network,false,false,,200,1553,2026-03-16T15:57:59.364Z
12eced7e708924dc8f85d763e7a43acc,12eced7e708924dc8f85d763e7a43acc,uuid,12eced7e708924dc8f85d763e7a43acc,(nicked),,true,network,false,false,,200,1555,2026-03-16T15:57:59.364Z
e92407ea8878404ea6b5a84d7881d5b2,e92407ea8878404ea6b5a84d7881d5b2,uuid,e92407ea8878404ea6b5a84d7881d5b2,r4kz,613,false,cache,true,false,,200,0,2026-03-16T15:57:54.350Z
1e3d21087fb4478998841fa18e658fba,1e3d21087fb4478998841fa18e658fba,uuid,1e3d21087fb4478998841fa18e658fba,oae_01,5,false,network,false,false,,200,78,2026-03-16T15:57:54.350Z
e92407ea8878404ea6b5a84d7881d5b2,e92407ea8878404ea6b5a84d7881d5b2,uuid,e92407ea8878404ea6b5a84d7881d5b2,r4kz,613,false,cache,true,false,,200,0,2026-03-16T15:57:34.350Z
00a27cf0e8fa40a8be8761032e686e32,00a27cf0e8fa40a8be8761032e686e32,uuid,00a27cf0e8fa40a8be8761032e686e32,Auferet,6,false,network,false,false,,200,77,2026-03-16T15:57:29.350Z
e92407ea8878404ea6b5a84d7881d5b2,e92407ea8878404ea6b5a84d7881d5b2,uuid,e92407ea8878404ea6b5a84d7881d5b2,r4kz,613,false,cache,true,false,,200,0,2026-03-16T15:56:59.351Z
d03cf293c1384ef48aad60f626468042,d03cf293c1384ef48aad60f626468042,uuid,d03cf293c1384ef48aad60f626468042,Rexioo,1346,false,cache,true,false,,200,0,2026-03-16T15:56:59.351Z
8f65e280c92047bf925bcd109a1b882d,8f65e280c92047bf925bcd109a1b882d,uuid,8f65e280c92047bf925bcd109a1b882d,7RCa,1,false,network,false,false,,200,89,2026-03-16T15:56:34.350Z
e92407ea8878404ea6b5a84d7881d5b2,e92407ea8878404ea6b5a84d7881d5b2,uuid,e92407ea8878404ea6b5a84d7881d5b2,r4kz,613,false,cache,true,false,,200,0,2026-03-16T15:56:34.350Z
